sentiment,text,user
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","CarolynS47"
"negative","RT @nytimes: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mislead, or infl…","angel_gardunno"
"negative","RT @LauraLoomer: \"Ilhan Omar and Rashida Tlaib appear set to become America’s first Muslim congresswomen.\"\n\nThey both hate Jewish people\n\nT…","bfrasier1951"
"positive","RT @XHNews: Most #Trump voters believe Republicans will win midterm elections, poll shows https://t.co/tbAmO9oEqd https://t.co/kkIpWFZoCb","GayeRobinson18"
"negative","RT @LauraLoomer: \"Ilhan Omar and Rashida Tlaib appear set to become America’s first Muslim congresswomen.\"\n\nThey both hate Jewish people\n\nT…","welshy42684911"
"negative","RT @nytimes: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mislead, or infl…","CrowCove"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","mpamer"
"negative","RT @LauraLoomer: \"Ilhan Omar and Rashida Tlaib appear set to become America’s first Muslim congresswomen.\"\n\nThey both hate Jewish people\n\nT…","420Elm"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","geminifinest70"
"negative","RT @LauraLoomer: \"Ilhan Omar and Rashida Tlaib appear set to become America’s first Muslim congresswomen.\"\n\nThey both hate Jewish people\n\nT…","_HeIsTheOne"
"neutral","RT @EmergeAmerica: Women are not just running at historic rates. Their are revolutionizing campaigns and redefining what is means to be a m…","Tagsitqaf"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","dance2morn"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","italnyer"
"positive","RT @ARmastrangelo: Planned Parenthood is spending $30 Million on the 2018 midterm elections alone.\n\nIf they have that kind of spare money l…","RosieAndujar"
"negative","RT @LauraLoomer: \"Ilhan Omar and Rashida Tlaib appear set to become America’s first Muslim congresswomen.\"\n\nThey both hate Jewish people\n\nT…","Gophers21"
"negative","RT @LauraLoomer: \"Ilhan Omar and Rashida Tlaib appear set to become America’s first Muslim congresswomen.\"\n\nThey both hate Jewish people\n\nT…","Nancyporano"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","StockScout1"
"negative","It’s not too late to register to vote for the midterm elections: https://t.co/iJN6LBWO1S via @tcu360","grace_amiss"
"positive","RT @XHNews: Most #Trump voters believe Republicans will win midterm elections, poll shows https://t.co/tbAmO9oEqd https://t.co/kkIpWFZoCb","Robert95009466"
"positive","RT @XHNews: Most #Trump voters believe Republicans will win midterm elections, poll shows https://t.co/tbAmO9oEqd https://t.co/kkIpWFZoCb","Mudassarklodhi"
"negative","RT @LauraLoomer: \"Ilhan Omar and Rashida Tlaib appear set to become America’s first Muslim congresswomen.\"\n\nThey both hate Jewish people\n\nT…","LIZTforTRUMP"
"positive","completely disgraceful moronic individuals any such power! These midterm elections we need to send a clear message… https://t.co/NKYewScvs6","U117Thomas"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","KBH912"
"positive","RT @EntheosShines: DEMOCRATS PLAN MORE MASSIVE VOTER FRAUD FOR UPCOMING ELECTIONS\n\nElection Fraud Expert Sounds The Alarm On Democrat &amp; Dee…","RichieMelville"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","Tinu"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","MsJoanne"
"neutral","RT @POTUScountdown: 49 days until 2018 Midterm Elections","POTUScountdown"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","felipefenton"
"neutral","RT @thehill: \"Kavanaugh allegations could be monster storm brewing for midterm elections\" https://t.co/UEv5kV6uUR https://t.co/7aJeCiq2QN","2andparker"
"negative","RT @DebbieGroover: @charliekirk11 They want to get past the midterm elections hoping that they will have control....  Republicans, get out…","discpmkr"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","vodblu"
"negative","@SenateGOP Senators, slow your crinkly old white asses down! No need 2 hurry this along as we have plenty of time a… https://t.co/2masm2CECk","Revloel"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","Amia1234"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","lisadhamija"
"neutral","RT @thehill: \"Kavanaugh allegations could be monster storm brewing for midterm elections\" https://t.co/UEv5kV6uUR https://t.co/7aJeCiq2QN","Entropy345"
"neutral","Will midterm elections drive mayhem in the markets? Read this week's market commentary: Midterm Mayhem?… https://t.co/kZ1jAf8Czl","kingwealth"
"positive","@MatthiasBe I'll be more than willing to have this conv after the Nov elections, I'm curious myself, I personally t… https://t.co/G2L9qHVGlh","Tamias7"
"positive","RT @CTXFoodBank: The midterm elections are coming up! Early voting is Oct. 22- Nov. 2 &amp; the general election is Nov. 6. Remember, you can't…","greatergoodgeek"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","RegVickers"
"negative","RT @LauraLoomer: \"Ilhan Omar and Rashida Tlaib appear set to become America’s first Muslim congresswomen.\"\n\nThey both hate Jewish people\n\nT…","TomGardIII"
"negative","RT @LauraLoomer: \"Ilhan Omar and Rashida Tlaib appear set to become America’s first Muslim congresswomen.\"\n\nThey both hate Jewish people\n\nT…","pfmcmanus36"
"positive","RT @RealJamesWoods: “Republicans need to ask Americans, to paraphrase President Reagan: Are you better off now than you were two years ago?…","Barbmccjohnson"
"negative","RT @LauraLoomer: \"Ilhan Omar and Rashida Tlaib appear set to become America’s first Muslim congresswomen.\"\n\nThey both hate Jewish people\n\nT…","sara41198593"
"negative","RT @LauraLoomer: \"Ilhan Omar and Rashida Tlaib appear set to become America’s first Muslim congresswomen.\"\n\nThey both hate Jewish people\n\nT…","MorganMayfair"
"neutral","RT @renato_mariotti: Perhaps this is why Mueller has asked the judge to set the deadline for sentencing memoranda after the midterm electio…","rechykc"
"neutral","RT @thehill: \"Kavanaugh allegations could be monster storm brewing for midterm elections\" https://t.co/UEv5kV6uUR https://t.co/7aJeCiq2QN","summer7570"
"positive","Several women of color are poised to win this fall, promising to shake up the makeup of the country’s overwhelmingl… https://t.co/iIZIPfXzko","Barbarjo"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","TheBigShip"
"negative","RT @NadlerJanet: What idiots would vote for Dems?\n\nThis week, Congressional Democrats released a detailed tax hike plan that they promised…","agapaoflower"
